INFO  - 2013-12-04 19:45:57.071; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2013-12-04 19:45:57.089; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/home/Downloads/solr-4.6.0/example/contexts at interval 0
INFO  - 2013-12-04 19:45:57.094; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/home/Downloads/solr-4.6.0/example/contexts/solr-jetty-context.xml
INFO  - 2013-12-04 19:45:57.161; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/home/home/Downloads/solr-4.6.0/example/webapps/solr.war!/ to /home/home/Downloads/solr-4.6.0/example/solr-webapp/webapp
INFO  - 2013-12-04 19:46:05.888; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-12-04 19:46:06.246; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-12-04 19:46:06.261; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-12-04 19:46:06.262; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2013-12-04 19:46:06.262; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2013-12-04 19:46:06.402; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/home/Downloads/solr-4.6.0/example/solr/solr.xml
INFO  - 2013-12-04 19:46:06.852; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2013-12-04 19:46:06.863; org.apache.solr.core.CoreContainer; New CoreContainer 1035896593
INFO  - 2013-12-04 19:46:06.863; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2013-12-04 19:46:06.875; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-12-04 19:46:06.875; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-12-04 19:46:06.875; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-12-04 19:46:06.877; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-12-04 19:46:06.877; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-12-04 19:46:06.877; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-12-04 19:46:06.878; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-12-04 19:46:06.878; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-12-04 19:46:06.878; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-12-04 19:46:07.123; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2013-12-04 19:46:07.125; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
